name,whitelist,count
SRR8698005_3,v1,354
SRR8698005_3,v2,20
SRR8698005_3,v3,163
SRR8698006_1,arc,0
SRR8698006_1,v1,0
SRR8698006_1,v2,0
SRR8698006_1,v3,0
SRR8698006_2,arc,249
SRR8698006_2,v1,603
SRR8698006_2,v2,187890
SRR8698006_2,v3,19275
SRR8698006_3,arc,14
SRR8698006_3,v1,375
SRR8698006_3,v2,30
SRR8698006_3,v3,188
SRR8698007_1,arc,0
SRR8698007_1,v1,0
SRR8698007_1,v2,0
SRR8698007_1,v3,0
SRR8698007_2,arc,252
SRR8698007_2,v1,636
SRR8698007_2,v2,185229
SRR8698007_2,v3,19173
SRR8698007_3,arc,16
SRR8698007_3,v1,347
SRR8698007_3,v2,25
SRR8698007_3,v3,184
SRR8698008_1,arc,0
SRR8698008_1,v1,0
SRR8698008_1,v2,0
SRR8698008_1,v3,0
SRR8698008_2,arc,351
SRR8698008_2,v1,589
SRR8698008_2,v2,183427
SRR8698008_2,v3,19335
SRR8698008_3,arc,29
SRR8698008_3,v1,393
SRR8698008_3,v2,16
SRR8698008_3,v3,220
SRR8698009_1,arc,0
SRR8698009_1,v1,0
SRR8698009_1,v2,0
SRR8698009_1,v3,0
SRR8698009_2,arc,269
SRR8698009_2,v1,563
SRR8698009_2,v2,175379
SRR8698009_2,v3,18455
SRR8698009_3,arc,20
SRR8698009_3,v1,400
SRR8698009_3,v2,20
SRR8698009_3,v3,197
SRR8698010_1,arc,0
SRR8698010_1,v1,0
SRR8698010_1,v2,0
SRR8698010_1,v3,0
SRR8698010_2,arc,341
SRR8698010_2,v1,583
SRR8698010_2,v2,186927
SRR8698010_2,v3,20118
SRR8698010_3,arc,17
SRR8698010_3,v1,372
SRR8698010_3,v2,30
SRR8698010_3,v3,183
SRR8698011_1,arc,0
SRR8698011_1,v1,0
SRR8698011_1,v2,0
SRR8698011_1,v3,0
SRR8698011_2,arc,339
SRR8698011_2,v1,608
SRR8698011_2,v2,184253
SRR8698011_2,v3,19513
SRR8698011_3,arc,20
SRR8698011_3,v1,401
SRR8698011_3,v2,24
SRR8698011_3,v3,219
SRR8698012_1,arc,0
SRR8698012_1,v1,0
SRR8698012_1,v2,0
SRR8698012_1,v3,0
SRR8698012_2,arc,168
SRR8698012_2,v1,594
SRR8698012_2,v2,183782
SRR8698012_2,v3,18681
SRR8698012_3,arc,12
SRR8698012_3,v1,420
SRR8698012_3,v2,33
SRR8698012_3,v3,220
SRR8698013_1,arc,0
SRR8698013_1,v1,0
SRR8698013_1,v2,0
SRR8698013_1,v3,0
